original_title,metadata
Superman Returns,adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor brandonrouth kevinspacey katebosworth jamesmarsden parkerposey franklangella samhuntington evamariesaint marlonbrando kalpenn tristanlakeleabu davidfabrizio ianroberts vincentstone jacklarson noelneill keeganjoyce jordanabeatty bryansinger
Quantum of Solace,adventure action thriller crime killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini gemmaarterton jeffreywright davidharbour jesperchristensen anatoletaubman rorykinnear timpigott-smith joaquíncosio glennfoster paulritter stanakatic lucrezialantedellarovere neiljackson oonachaplin rachelmcdowall gustavonanez markwakeling sarahhadland daviddecio aaronking alexandraprusa brandonjovanovich alexandrekrawetz fernandoguilléncuervo jesúsochoa simonkassianides brendano'hea marcforster
Pirates of the Caribbean: Dead Man's Chest,adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy jackdavenport kevinmcnally jonathanpryce leearenberg mackenziecrook tomhollander naomieharris davidbailie martinklebba davidschofield alexnorton geoffreyrush dermotkeaney andybeckwith cliveashborn reggielee christopheradamson jonathanlinsley johnboswall maxbaker stevespeirs laurenmaher vanessabranch lukedewoolfson jonathankite ho-kwantse peterdonaldbadalamentiii christophers.capp goreverbinski
The Lone Ranger,action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto johnnydepp armiehammer williamfichtner helenabonhamcarter jamesbadgedale tomwilkinson ruthwilson barrypepper jamesfrain masoncook matto'leary leonrippy harrytreadaway damonherriman w.earlbrown gilbirmingham saginawgrant stephenbrodie matthewpage nickw.nicholson bryantprince jdcullum joaquíncosio timothyv.murphy damoncarney kevinwiggins chadbrummett robertbaker lewtemple stephenroot randyoglesby bradgreenquist rancehoward leonardearlhowze travishammer stevecorona jackaxelrod christopherhagen fredafohshen margaretbowman luzp.mendez lainaloucks devonj.adams desiraeanslover charlottecormier meganpribyl brianavanschuyver juliestracener chadrandall jasone.hill bethbailey joannecamp bobrumnock taitfletcher alexknight argosmaccallum pokeylafarge joeyglynn adamhoskins ryankoenig goreverbinski
Man of Steel,action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse henrycavill amyadams michaelshannon kevincostner dianelane russellcrowe laurencefishburne antjetraue christophermeloni jadingould tahmohpenikett ayeletzurer richardschiff dylansprayberry michaelkelly carlagugino richardcetrone mackenziegray julianrichings maryblack samanthajo rebeccabuller christinawren davidlewis dougabrahams bradkelly alessandrojuliani jackfoley robertgerdisch harrylennix jacquelinescislowski seancampbell rajlal zacksnyder
The Chronicles of Narnia: Prince Caspian,adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld benbarnes williammoseley annapopplewell skandarkeynes georgiehenley sergiocastellitto aliciaborrachero peterdinklage warwickdavis vincentgrass pierfrancescofavino damiánalcázar simónandreu predragbjelac shanerangi cornelljohn liamneeson kenstott tildaswinton eddieizzard kláraissová andrewadamson
The Avengers,sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson jeremyrenner tomhiddleston clarkgregg cobiesmulders stellanskarsgård samuell.jackson gwynethpaltrow paulbettany jennyagutter walterperez powersboothe stanlee arthurdarbinyan donaldli ashleyjohnson harrydeanstanton aliciasixtos dieterriesle jamiemcshane jeffwolfe jerzyskolimowski maximilianohernández alexisdenisof jameseckhouse envergjokaj damionpoitier tinabenko kirillnikiforov m'laahkaursingh rashmirustagi warrenkole jessegarcia kennethtigar joshcowdery katsumikomatsu yumikokomatsu momokokomatsu robertclohessy fernandatoker andreavecchio robinswoboda brentmcgee michaelzhang william-christopherstephens kelleyrobins romyrosemont patkiernan thomasroberts jillianmorgese catherineanderson ricardoandres loganbennett mayankbhatter sharitabone jasonbotsford marykatecampbell genen.chavez laylacushman robertdean rickdremann jeffreyfeingold louferrigno rodfielder ericfrank israelhall carmendeeharris alexanderchristopherjones mikekarban demoinekinney andrewknode annettelawless kimberlyj.mahoney toddmanes jorgemardel tiffanysandermckenzie michaelmcmillan seanmeehan jotinagra hollyneelie calebdanielnoal josepho'brien jeremyorr natepaige martinpalmer mariaperossa calebpieplow alexanderdanielpimentel frankpowers jaimepowers brentreichert kellyruble ginasarno robertb.schneideriv jeffseich christinashaffer alondashevette douglasslygh colinstrause robertp.thitoff georgethomas shanethompson jerryleetucker taiurban chrisvaina sandraweston sethzielicke alexdecourville debbiescaletta andrea-nicholeolivas tinagrimm josswhedon
Pirates of the Caribbean: On Stranger Tides,adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush samclaflin astridbergès-frisbey stephengraham gregellis damiano'hare óscarjaenada richardgriffiths keithrichards gemmaward judidench ianmercer robbiekay christopherfairbank yukimatsuzaki steveevets bronsonwebb derekmears deobiaoparei sebastianarmesto antonlesser rogerallam paulbazely richardthomson dannyleboyer alanj.utley-moore lukeroberts emiliajones sanyahughes lejon siegfriedpeters robmarshall
Men in Black 3,action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson jemaineclement nicolescherzinger aliceeve billhader michaelchernus davidrasche keoneyoung cayenmartin mikecolter melahudson willarnett kelvindavis danbittner barrysonnenfeld
The Hobbit: The Battle of the Five Armies,action adventure fantasy corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish williamkircher jamesnesbitt stephenhunter deano'gorman aidanturner johncallen peterhambleton jedbrophy markhadlow adambrown orlandobloom evangelinelilly leepace cateblanchett hugoweaving christopherlee ianholm mikaelpersbrandt sylvestermccoy lukeevans stephenfry johnbell ryangage peggynesbitt marynesbitt manubennett johntui billyconnolly benedictcumberbatch kellykilgour sarahpeirse nickblake simonlondon conanstevens allansmith mirandaharcourt thomasinmckenzie peterjackson
The Amazing Spider-Man,action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger andrewgarfield emmastone rhysifans denisleary campbellscott irrfankhan martinsheen sallyfield maxcharles chriszylka embethdavidtz leifgantvoort hannahmarks kelseyasbille c.thomashowell stanlee michaelmassee michaelpapajohn karicoleman charliedepew skylergisondo jacobrodier jakekeiffer kevinmccorkle barbaraeveharris danielleburgio michaelbarra andypessoa andygladbach ringhendricks-tellefsen tomwaite keithcampbell stevedecastro jameschen alexanderbedria johnburke jillflint markdaugherty miltongonzález vincentlaresca damienlemon tyupshaw tiatexada jaycaputo terrybozeman jenniferlyons amberstevens zoeydeutch jodycosgrove-kao maxbogner ethancohn mileselliot mirandaladawnhill amandamacdonald maurymorgan amynovondo kristinquick marcwebb
Robin Hood,action adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland russellcrowe cateblanchett maxvonsydow williamhurt markstrong oscarisaac dannyhuston eileenatkins markaddy matthewmacfadyen kevindurand scottgrimes alandoyle douglashodge léaseydoux jonathanzaccaï robertpugh gerardmcsorley velibortopic ciaranflynn simonmcburney marklewisjones bronsonwebb denisménochet rubybentall jessicaraine johnnicholas royholder denisegough lukeevans arthurdarvill gianninafacio ralphineson jakecurran ridleyscott
The Hobbit: The Desolation of Smaug,adventure fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish williamkircher jamesnesbitt stephenhunter deano'gorman aidanturner benedictcumberbatch leepace lukeevans evangelinelilly orlandobloom mikaelpersbrandt manubennett stephenfry johnbell sylvestermccoy terrynotary peterhambleton cateblanchett stephencolbert jedbrophy sarahpeirse marynesbitt peggynesbitt markhadlow johncallen adambrown benmitchell peterjackson
The Golden Compass,adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel dakotabluerichards nicolekidman danielcraig samelliott evagreen freddiehighmore ianmckellen benwalker ianmcshane kristinscottthomas kathybates jimcarter tomcourtenay christopherlee simonmcburney jackshepherd magdaszubanski derekjacobi clarehiggins charlierowe stevenloton michaelantoniou markmottram hattiemorahan jasonwatkins samhoare briannickels thomasarnold helensoraya chrisweitz
King Kong,adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur naomiwatts jackblack adrienbrody thomaskretschmann colinhanks andyserkis evanparke jamiebell lobochan johnsumner craighall kylechandler williamjohnson davidpittu markhadlow geraldinebrophy daviddennis pipmushin jimknobeloch richerbert leedonahue tomhobbs tirielmora jedbrophy johnwraight williamwallace frankedwards crawfordthomson richardkavanagh stephenhall joefolau chiclittlewood samueltaylor peterjackson
Titanic,drama romance thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s katewinslet leonardodicaprio francesfisher billyzane kathybates gloriastuart billpaxton bernardhill davidwarner victorgarber jonathanhyde suzyamis lewisabernathy nicholascascone dannynucci jasonbarry lewpalter ericbraeden bernardfox ewanstewart ioangruffudd jonnyphillips edwardfletcher scottg.anderson martineast gregorycooke alexandreaowens sethadkins michaelensign anatolym.sagalevitch martinhub marklindsaychapman richardgraham paulbrightwell rondonachie charlottechatton fanniebrett jenettegoldstein camillaoverbyeroos lindakerns amygaipa martinjarvis rosalindayres rochellerose jonathanevans-jones brianwalsh rockytaylor craigkelly liamtuohy simoncrane jameslancaster elsaraven reecep.thompsoniii laramielandis markrafaeltruitt johnwalcutt terryforrestal dereklea richardashton seannepita brendanconnolly davidcronnelly garthwilton richardfox nickmeaney kevinowers markcapri marccass paulherbert emmettjames chrisbyrne oliverpage jamesgarrett erikholland erikholland jarikinnunen andersfalk barrydennen vernurich rebeccaklingler triciao'neil kathleens.dunn romeofrancis mandanamarino vanling bjørnolsen danpettersson shayduffin gregellis dianamorgan krisandersson bobbiebates aaronjamescash annefletcher edmondalanforsyth andiehicks scotthislop stanmazin lisaratzin julenerenee brianbaines elliebensinger alexandraboyd mikebutters jamescameron brunocampolo chriscragnotti kevyncurrie kevindelanoy thomasfiss griffinhowell seanhowse tonykenny bretaaronknower georgekostyiii georgekostyjr. geoffreyc.kosty gregorycharleskosty seanlawlor johnleonhardt miguela.lomelin donlynch johnnymartin ryanmcclurkin meghanmcleod mikeo'neal julianoros philparlapiano judyprestininzi stevenquale oliviarosewood johnslade stephenwolfesmith r.gerntrowbridge franciscováldez luciezolcerova jamescameron
Captain America: Civil War,adventure action sciencefiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d chrisevans robertdowneyjr. scarlettjohansson sebastianstan anthonymackie doncheadle jeremyrenner chadwickboseman paulbettany elizabetholsen paulrudd emilyvancamp tomholland frankgrillo williamhurt danielbrühl johnslattery kerrycondon martinfreeman marisatomei johnkani hopedavis genefarber florencekasumba alfrewoodard jimrash stanlee joerusso damionpoitier michaela.cook laughtonparchment jacksonspidell yilong heidimoneymaker aarontoney caleschultz annrusso cornelljohn svenhönig joshuapeck brentmcgee besatrazemis blairjasin olibigalke rafaelbanasik daviddevries johncurran katieamess austinsanders brettgentile matthewanderson andrewbotchwey chasebradfield ernestcharles hendrickscoates ethancondon shendynes nathanielellis jariahferguson evanffrench justinfreeman ralphaelgrand'pierre juliangrimes aaronhayes austinhooper amirijones mylesjoseph stephenlewis jacobludwick d'mahreimcrae ashwinmudaliar eliollinger parkerpape danielparada jonahruffin darrylsampson cameronsardone stanleysellers milesselles jacobsung cadenwilkinson kimscar jessicawalther-gabory beniaminobrogi silvinabuchbauer henryamadi ugochukwuani michaelanthonyrogers umarkhan davidbrown guyfernandez sophiarusso ameliamorck juliannaguill surelyalvelo brianschaeffer kevinlarosajr. alcerullo frédéricnorth raysahetapy anthonyrusso
Battleship,thriller action adventure sciencefiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri taylorkitsch alexanderskarsgård rihanna brooklyndecker tadanobuasano liamneeson gregoryd.gadson hamishlinklater jesseplemons johntui jerryferrara davidjensen peterberg adamgodley ricomcclinton jojiyoshida stephenbishop austinnaulty jamesrawlings dustinj.reno rickhoffman garygrubbs ramimalek petermacnicol louislombardi jordankirkwood dougpenty carsonaune joshpence lloydpitts michellearthur nataliacastellanos leniito jackiejohnson kerrycahill normanvincentmclafferty dantejimenez davenarce ralphrichardson biuncalove kylerussellclements yutakatakeuchi johnaweaver danejustman drewrausch billstinchcomb peterberg
Jurassic World,action adventure sciencefiction thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinson tysimpkins jakejohnson omarsy bdwong judygreer laurenlapkus briantee katiemcgrath andybuckley ericedelstein jimmyfallon jamesdumont mattburke annatalakkottur colintrevorrow courtneyj.clark kellywashington matthewcardarople chadrandall yvonneangulo chloeperrin erikaerica tiffanyforest colintrevorrow
Skyfall,action adventure thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao danielcraig judidench javierbardem ralphfiennes naomieharris bérénicemarlohe albertfinney benwhishaw rorykinnear olarapace helenmccrory nicholaswoodeson billbuckhurst elizedutoit ianbonar toniasotiropoulou wolfblitzer jenshultén anthonyo'donnell jocameronbrown peterbasham benloyd-holmes orionlee yennischeung sammendes
Spider-Man 2,action adventure fantasy dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain tobeymaguire kirstendunst jamesfranco alfredmolina rosemaryharris donnamurphy j.k.simmons danielgillies dylanbaker willemdafoe mageinatovah brucecampbell stanlee scottspiegel joelmchale halsparks donnellrawlings emilydeschanel elizabethbanks danieldaekim aasifmandvi joeydiaz vanessaferlito joybryant johnlandis phillamarr greggedelman tedraimi cliffrobertson elyabaskin billnunn brentbriscoe christineestabrook johnpaxton joannebaron petermcrobbie louislombardi marcjohnjefferies reeddiamond brendanpatrickconnor dancallahan susiepark briannabrown tomcarey danhicks timothypatrickquill tonycampisi mollycheek kellyconnell roshonfegan taylorgilbert timothyjerome elysedinh bille.rogers annebetancourt triciapeters timstorms billcalvert peterallas chloedykstra juliamax calvindean frankbonsangue andrem.johnson petercincotti peytonlist spencerlist troymetcalf scottross bonniesomerville wesleyvolcy louvolpe davidboston garrettwarren michaelarthur cindycheung samraimi
